cand,players,tag,salary,book_rank,book_rank_cov,sel_mean,sel_p194,aud_mean,aud_p194,gen_mean,book_rank_wemax,actual,actual_rank,actual_payout,e_payout,p_cash,p_top1000,p_top100,sim_mean,sim_q99,e_payout_capped,e_log
573,"00-0032764,00-0034753,00-0034844,00-0035228,00-0036259,00-0036275,00-0036322,00-0038124,JAX_DST",boom,50000,,,121.61343,0.0039,121.61343,0.0027,121.61343,,172.12,124393,8.0,4.633,0.221,0.0037,0.0007,121.613434,183.87054,4.033,0.5388363899872902
574,"00-0032764,00-0034365,00-0036223,00-0036410,00-0036442,00-0036900,00-0038120,00-0040237,PHI_DST",boom,50000,,,123.4452,0.0034,123.4452,0.0045,123.4452,,117.06,669338,0.0,4.9597,0.2262,0.0017,0.0003,123.44519,183.22482,3.1597,0.5366797668426251
575,"00-0033921,00-0034829,00-0034855,00-0036275,00-0036322,00-0039139,00-0040666,00-0041048,JAX_DST",boom,49100,,,119.0614,0.0011,119.06141,0.0013,119.06141,,174.84,106787,8.0,1.6064,0.1515,0.0006,0.0,119.0614,176.45686,1.6064,0.35153705647341205
576,"00-0031588,00-0035261,00-0036040,00-0037239,00-0039139,00-0039361,00-0039893,00-0040743,JAX_DST",boom,49400,,,124.39258,0.0034,124.39258,0.0024,124.39258,,173.60000000000002,114739,8.0,3.4427,0.231,0.0012,0.0003,124.39258,180.91597,3.0927,0.5427760746478864
577,"00-0034351,00-0035228,00-0036259,00-0036900,00-0036973,00-0038124,00-0038597,00-0038994,JAX_DST",boom,49800,,63.0,123.959724,0.0046,123.959724,0.0043,123.959724,,109.82,721602,0.0,16.3963,0.2361,0.0048,0.0008,123.959724,184.64517,4.7463,0.5783141633695983
578,"00-0036264,00-0036322,00-0036973,00-0038563,00-0038996,00-0039146,00-0040122,00-0040666,JAX_DST",boom,49100,57.0,58.0,123.45091,0.0032,123.45093,0.0034,123.45093,41.0,147.68,347971,0.0,3.9881,0.233,0.0025,0.0004,123.45093,181.52878,3.6881,0.5650243228170794
579,"00-0035228,00-0036322,00-0038393,00-0038994,00-0039040,00-0039139,00-0039811,00-0041032,JAX_DST",boom,49700,,,118.2671,0.0016,118.2671,0.0017,118.2671,,123.42000000000002,612960,0.0,2.3758,0.1782,0.0017,0.0,118.2671,180.08875,2.3758,0.4249265712786648
580,"00-0035228,00-0036259,00-0036275,00-0036322,00-0038542,00-0039139,00-0040584,00-0040667,PHI_DST",boom,50000,,,119.470924,0.0019,119.47091,0.0022,119.47091,,161.42000000000002,207801,0.0,2.6117,0.1855,0.0012,0.0002,119.470924,177.22208,2.4117,0.440654150913378
581,"00-0033921,00-0036223,00-0036259,00-0036322,00-0038996,00-0039040,00-0039923,00-0040124,JAX_DST",boom,49600,,,114.98259,0.0011,114.9826,0.0008,114.98259,,110.20000000000002,719226,0.0,7.865,0.1404,0.0008,0.0002,114.9826,172.08102,1.915,0.33154247586515545
582,"00-0034796,00-0036550,00-0037744,00-0038559,00-0039064,00-0039344,00-0040128,00-0040666,JAX_DST",boom,49300,,,110.7755,0.0015,110.7755,0.0013,110.7755,,132.86,514988,0.0,1.4885,0.1218,0.0006,0.0001,110.77551,171.86848,1.4385,0.2865238686035627
583,"00-0036407,00-0036554,00-0036963,00-0036971,00-0037248,00-0038935,00-0039893,00-0040719,JAX_DST",boom,49900,29.0,27.0,119.72411,0.004,119.7241,0.0037,119.72411,,130.6,539767,0.0,7.1545,0.2107,0.0068,0.0009,119.72411,185.33713,5.2045,0.5366119125417372
584,"00-0033293,00-0036322,00-0038115,00-0038120,00-0038994,00-0039139,00-0040676,00-0041438,JAX_DST",boom,49100,,,113.635925,0.0017,113.635925,0.0011,113.63594,,135.8,482281,0.0,3.8085,0.1468,0.0016,0.0004,113.635925,175.8377,2.3585,0.35434183783086387
585,"00-0031588,00-0034383,00-0034827,00-0036223,00-0036554,00-0039139,00-0039163,00-0039491,JAX_DST",boom,49700,,,122.822174,0.003,122.822174,0.0041,122.82219,,200.16,18499,15.0,4.1833,0.2368,0.0038,0.0002,122.82219,182.12756,3.8833,0.5839614674783655
586,"00-0034855,00-0037248,00-0038129,00-0038597,00-0038994,00-0039361,00-0040129,00-0041547,JAX_DST",boom,49600,,,119.3198,0.0051,119.31981,0.0045,119.3198,,103.34,758160,0.0,5.8717,0.2063,0.0034,0.0005,119.3198,184.01288,3.5217,0.5049569897871165
587,"00-0033921,00-0035228,00-0036322,00-0037744,00-0038994,00-0039811,00-0039915,00-0040784,PHI_DST",boom,50000,,,116.099884,0.0012,116.09988,0.0022,116.09988,,97.52,782780,0.0,2.3823,0.1583,0.0014,0.0002,116.09988,176.1372,2.1823,0.37973363421779754
588,"00-0034798,00-0035710,00-0036223,00-0037240,00-0037664,00-0038542,00-0038997,00-0040124,JAX_DST",boom,49300,,,113.75546,0.0039,113.75545,0.0034,113.75546,,117.64,664786,0.0,3.8356,0.1569,0.0037,0.0003,113.75546,182.80714,3.3356,0.3899758330047286
589,"00-0032764,00-0033921,00-0035631,00-0036442,00-0036900,00-0037239,00-0037256,00-0038996,JAX_DST",boom,49000,,,116.4994,0.0011,116.4994,0.0008,116.4994,,128.26,564660,0.0,1.3313,0.128,0.0005,0.0,116.4994,173.42372,1.3313,0.29356076126800207
590,"00-0033106,00-0035659,00-0036963,00-0036973,00-0039065,00-0039849,00-0040122,00-0040242,JAX_DST",boom,49800,32.0,,124.96603,0.0045,124.96603,0.0038,124.966034,27.0,138.74,449250,0.0,5.7983,0.2534,0.0044,0.0005,124.96603,185.44728,4.2983,0.6141126816031668
